#Match catalogue of W4_PHOT_PDR2_ALLsorted.txt.gz and W4_SPEC_PHOT_Z_PDR2.txt.gz
#    1) num
#    2) alpha [deg]
#    3) delta [deg]
#    4) selmag [mag]
#    5) zspec
#    6) zflg
#    7) zphot
#  8-9) u_T07, erru_T07 [mag, mag]
#10-11) g_T07, errg_T07 [mag, mag]
#12-13) r_T07, errr_T07 [mag, mag]
#14-15) i_T07, erri_T07 [mag, mag]
#16-17) z_T07, errz_T07 [mag, mag]
#18-19) Ks, errKs [mag, mag]
4.01012051e8	330.276936	0.87135	21.3772	0.8169	2.5	0.8364	23.413	0.049	22.878	0.019	22.255	0.021	21.399	0.019	21.254	0.021	20.034	0.037
4.01012154e8	330.574005	0.872079	22.1493	0.6832	4.5	0.6367	24.943	0.159	23.997	0.038	23.049	0.034	22.144	0.028	22.121	0.038	20.757	0.044
4.01012199e8	330.522519	0.872371	22.0721	0.7034	3.5	0.7514	23.781	0.062	23.394	0.025	22.763	0.035	22.08	0.033	21.934	0.039	20.752	0.046
4.01012278e8	330.423102	0.872365	22.3284	0.6701	2.4	0.6063	23.939	0.069	23.637	0.03	22.89	0.035	22.3	0.036	22.295	0.05	21.852	0.108
4.01012302e8	330.3595	0.872961	22.0567	0.7617	3.4	0.7132	24.094	0.07	23.579	0.026	22.95	0.029	22.097	0.027	22.157	0.038	21.395	0.081
4.01012445e8	330.943027	0.873239	22.2403	0.8179	2.4	0.7477	23.677	0.058	23.426	0.029	22.974	0.041	22.294	0.04	22.288	0.051	21.925	0.185
4.01012589e8	330.930355	0.874038	22.0909	0.8165	2.2	0.9374	25.327	0.203	24.761	0.076	23.264	0.039	22.091	0.027	21.582	0.021	20.074	0.024
4.01012599e8	330.751834	0.874271	22.16	0.792	2.5	0.7583	26.979	0.952	25.237	0.117	23.442	0.053	22.158	0.028	21.843	0.03	20.191	0.021
4.01012707e8	330.290898	0.874405	21.6449	0.5593	3.5	0.5271	24.8	0.148	23.68	0.032	22.482	0.021	21.655	0.02	21.507	0.022	19.874	0.023
4.01012744e8	330.849246	0.874802	21.2581	0.0	4.2	0.8848	25.612	0.262	24.053	0.041	23.07	0.037	21.276	0.016	20.66	0.012	19.862	0.016
4.01012778e8	330.822508	0.874931	21.8573	0.4907	1.5	0.4964	26.279	0.448	24.325	0.049	22.798	0.025	21.909	0.021	21.744	0.024	20.452	0.029
4.01012942e8	330.549029	0.87531	22.3277	0.7736	4.5	0.7639	24.716	0.124	24.069	0.04	23.314	0.04	22.344	0.033	22.291	0.042	20.761	0.042
4.01013132e8	330.333764	0.876158	22.3079	0.4461	3.2	0.5686	24.323	0.092	23.667	0.031	22.937	0.031	22.259	0.034	22.389	0.05	21.928	0.15
4.0101315e8	330.759189	0.876156	22.088	0.7526	3.5	0.7164	23.518	0.046	23.242	0.022	22.829	0.031	22.158	0.033	22.278	0.048	22.032	0.133
